"logFC","logCPM","F","PValue","FDR","gene"
-6.7685932963892,7.74829815706685,232.037136686004,2.22744612985673e-26,1.09256232669473e-22,"mlt-11"
-9.63906627954211,7.20311596018159,189.698800577252,3.58641619421185e-23,8.79568571630457e-20,"col-17"
3.29155464930065,8.3865275944107,169.770330334293,5.50712403183185e-22,9.00414779204507e-19,"gst-24"
-5.9912238694531,7.52617185572818,160.449677800569,2.05228930122515e-21,2.51661975562734e-18,"F41F3.3"
-5.900603578966,7.19130478647381,154.89285114597,4.9811091480592e-21,4.88646807424608e-18,"cut-2"
-7.16437331885775,6.52137447272276,115.351726838277,1.47957846505873e-17,1.20955539518551e-14,"sqt-3"
-6.9666446926897,6.33275691028024,101.495523081974,3.25503224882029e-16,2.28084759720908e-13,"rol-8"
-3.46360594217992,7.10518959315005,96.7653770615437,1.07647264357954e-15,6.60012289594705e-13,"noah-2"
-5.0126319213224,6.59277659829753,93.981246442179,1.78312945139546e-15,9.71805551010525e-13,"col-41"
-6.96819280816649,6.32927426232954,92.181453077456,2.97201910293884e-15,1.4577753699915e-12,"dpy-13"
-8.61303787355044,6.20342717927688,92.3104555078931,3.88008713027416e-15,1.73016612490861e-12,"sqt-1"
-4.12349991154636,6.57396548961268,87.9313291279418,8.87017241573663e-15,3.62568297493235e-12,"sym-1"
5.7996530259119,6.36043158873882,85.4401124766899,1.24800729134405e-14,4.70882751080197e-12,"pgp-8"
-5.5087121745054,6.17653344886791,84.3056869249655,1.6416293113344e-14,5.7515655514966e-12,"col-73"
-8.26369433099005,5.88281866362146,81.1280549084025,6.18814480289222e-14,2.02352335054576e-11,"F30H5.3"
-8.3172636518701,5.92696041846211,80.234521088417,7.78456473601465e-14,2.35417851056117e-11,"col-90"
-6.5469702246427,5.94625778819417,79.1038938583451,8.15923235056878e-14,2.35417851056117e-11,"dpy-8"
-3.73724090229041,6.54610159989329,78.9806948424965,8.92364192412025e-14,2.43169242432277e-11,"fbn-1"
-5.77069892637579,5.9443030876787,72.3522540095272,4.10377770041506e-13,1.05942261160715e-10,"ZK180.5"
-5.70539816517792,5.89109570589059,71.7583185269263,4.84417430226177e-13,1.1880337476297e-10,"dpy-4"
-8.25715445645993,5.868871388312,72.8236251766721,5.4975697264745e-13,1.28407521468369e-10,"dpy-5"
-3.7827319753551,6.38178775962502,68.0729674913472,1.72136738150119e-12,3.83786682102879e-10,"noah-1"
-4.49966775283832,5.88741336764835,57.3125898631775,3.64065779811896e-11,7.76409847816239e-09,"asp-12"
-2.86124477281832,6.53498646997843,54.2784434916676,1.034747008464e-10,2.1147641985483e-08,"lin-42"
-6.05985932083611,5.49806153166633,52.3438038949208,1.82446200074788e-10,3.57959444546735e-08,"abu-14"
-4.95855126673354,5.67287989170865,49.7668416035948,3.67190429593273e-10,6.9271886813654e-08,"grl-16"
-3.63633090134337,5.87565370342178,46.6113706076652,1.17335224848784e-09,2.13158991808624e-07,"Y47D7A.13"
-4.71405968591226,5.47919785076689,42.4664774364533,4.2567216381134e-09,7.24786212208262e-07,"ptr-4"
-7.41393628580088,5.12538448863605,43.0406455981952,4.28517842080318e-09,7.24786212208262e-07,"lpr-3"
-2.79763012564318,6.29255326749277,42.5875275811052,4.631964805751e-09,7.57326245740289e-07,"C09F9.2"
-7.332442702646,5.05426022793032,40.2091471159173,1.12480472443662e-08,1.77973134624568e-06,"mlt-8"
1.46031594008618,8.10105092705962,39.4825957232199,1.34931339861086e-08,2.06824444380822e-06,"mrp-2"
1.85688325485622,7.26163333579957,39.2533648041523,1.46257118559443e-08,2.17391262586081e-06,"C29F7.2"
-2.59692859678288,6.2012822624558,38.0605979302718,2.23080984970679e-08,3.21827126847406e-06,"K10D3.4"
